epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,83.7884,0.54996,0.48541,0.9307,0.99779,1,0.995,0.85693,0.58786,0.45138,0.89972,0.0011486,0.0011486,0.0011486
45,85.1211,0.47071,0.48106,0.88102,0.9963,1,0.995,0.86263,0.53332,0.44737,0.87604,0.0011288,0.0011288,0.0011288
46,86.4326,0.48797,0.45896,0.89495,0.99444,1,0.995,0.88604,0.50636,0.43359,0.87565,0.001109,0.001109,0.001109
47,87.6692,0.48903,0.46506,0.91306,0.99033,1,0.995,0.87661,0.52069,0.4743,0.88665,0.0010892,0.0010892,0.0010892
48,88.9921,0.50052,0.46917,0.91922,0.99766,1,0.995,0.8879,0.51299,0.39914,0.88044,0.0010694,0.0010694,0.0010694
49,90.2391,0.48806,0.46587,0.9103,0.99802,1,0.995,0.90067,0.49684,0.40035,0.87512,0.0010496,0.0010496,0.0010496
50,91.5641,0.49249,0.45297,0.89166,0.99795,1,0.995,0.84531,0.61629,0.42151,0.92143,0.0010298,0.0010298,0.0010298
51,92.7933,0.50596,0.46269,0.91899,0.99772,1,0.995,0.85442,0.61243,0.41539,0.90958,0.00101,0.00101,0.00101
52,94.1047,0.47426,0.44205,0.86161,0.9979,1,0.995,0.88181,0.51316,0.35526,0.8732,0.0009902,0.0009902,0.0009902
53,95.396,0.48607,0.44557,0.90608,0.99794,1,0.995,0.88621,0.53424,0.33852,0.88557,0.0009704,0.0009704,0.0009704
54,96.7267,0.47644,0.40676,0.90732,0.99784,1,0.995,0.88438,0.54724,0.33706,0.89933,0.0009506,0.0009506,0.0009506
55,97.9762,0.47335,0.42273,0.89727,0.99784,1,0.995,0.89983,0.52012,0.3289,0.88738,0.0009308,0.0009308,0.0009308
56,99.2537,0.4969,0.43179,0.88662,0.99737,1,0.995,0.90164,0.48465,0.33755,0.86964,0.000911,0.000911,0.000911
57,100.6,0.49068,0.43352,0.89514,0.9973,1,0.995,0.88492,0.49173,0.34322,0.87806,0.0008912,0.0008912,0.0008912
58,101.915,0.47629,0.43647,0.90162,0.99606,1,0.995,0.88974,0.48592,0.38255,0.87742,0.0008714,0.0008714,0.0008714
